εμείς we
μπορεί can
από out
άλλα other
ήταν were
οποίος which
κάνει do
τους their
χρόνος time
αν if
θα will
πως how
είπε said
ένα one
κάθε each
πείτε tell
κάνει does
σετ set
τρία three
θέλω want
αέρας air
καλά well
επίσης also
παιχνίδι play
μικρό small
τέλος end
που put
σπίτι home
διαβάστε read
χέρι hand
λιμάνι port
μεγάλες large
σημάνει spell
προσθέσετε add
ακόμη even
γη land
εδώ here
πρέπει must
μεγάλος big
υψηλός high
όπως such
ακολουθήστε follow
πράξη act
γιατί why
ρωτήστε ask
άνδρες men
αλλαγή change
πήγε went
φως light
είδος kind
απενεργοποίηση off
ανάγκη need
σπίτι house
εικόνα picture
δοκιμάστε try
μας us
πάλι again
ζώο animal
σημείο point
μητέρα mother
κόσμο world
κοντά near
οικοδομήσουμε build
αυτο self
γη earth
Ο πατέρας father
κάθε any
νέα new
εργασία work
μέρος part
λαμβάνουν take
πάρετε get
θέση place
που made
ζω live
όπου where
μετά after
πίσω back
λίγο little
μόνο only
γύρος round
άνθρωπος man
έτους year
ήρθε came
σόου show
κάθε every
καλός good
μου me
δώσει give
μας our
υπό under
όνομα name
πολύ very
μέσω through
μόνο just
μορφή form
φράση sentence
μεγάλος great
νομίζω think
λένε say
βοηθήσει help
χαμηλής low
γραμμή line
διαφέρουν differ
στροφή turn
αιτία cause
πολύ much
σημαίνει mean
πριν before
κίνηση move
δεξιά right
αγόρι boy
γριά old
ίδιο same
που she
όλα all
εκεί there
όταν when
επάνω up
χρήση use
σας your
τρόπος way
περίπου about
πολλά many
τότε then
τους them
γράφω write
θα would
σαν like
έτσι so
αυτά these
της her
μακρά long
κάνω make
πράγμα thing
βλέπω see
τον him
δυο two
έχει has
δείτε look
περισσότερα more
ημέρα day
θα μπορούσε could
πηγαίνω go
έρχονται come
έκανε did
αριθμός number
ήχος sound
δεν no
πλέον most
άνθρωποι people
μου my
πέρα over
ξέρετε know
νερό water
από than
κλήση call
πρώτη first
που who
μπορεί may
κάτω down
πλευρά side
ήταν been
τώρα now
βρείτε find
κεφάλι head
στάση stand
δική own
σελίδα page
θα πρέπει να should
χώρα country
βρέθηκαν found
σχολείο school
μεγαλώνουν grow
μελέτη study
ακόμα still
μάθετε learn
φυτό plant
κάλυμμα cover
τροφίμων food
ήλιος sun
τέσσερα four
μεταξύ between
κατάσταση state
κρατήσετε keep
μάτι eye
ποτέ never
τελευταία last
ας let
σκέψης thought
πόλη city
δέντρο tree
σταυρός cross
αγρόκτημα farm
σκληρά hard
αρχή start
θα μπορούσε might
ιστορία story
πριόνι saw
σήμερα far
θάλασσα sea
κλήρωση draw
αριστερά left
αργά late
τρέχει run
μη don’t
ενώ while
τύπου press
κοντά close
νύχτα night
πραγματική real
ζωή life
λίγα few
βόρεια north
βιβλίο book
φέρουν carry
πήρε took
επιστήμη science
φάτε eat
